id,鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
1,1,文山區,房地(土地+建物),臺北市文山區保儀路109巷23弄1~30號,14.5,住,1060208,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,NA,88.19,3,2,1,有,無,7280000,82549,,0,0,含增建或未登記建物。
2,2,中正區,房地(土地+建物),臺北市中正區中華路二段313巷1~30號,10.53,住,1060409,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,加強磚造,560519,25.63,1,1,1,有,無,4.00E+06,156067,,0,0,
4,4,文山區,房地(土地+建物),臺北市文山區景中街30巷1~30號,1.24,其他,1060415,土地1建物1車位0,二層,七層,其他,商業用,鋼筋混凝土造,770212,9.05,0,0,0,無,有,1.00E+06,110497,,0,0,
5,5,萬華區,房地(土地+建物),臺北市萬華區峨眉街91~120號,3.1,商,1060308,土地1建物1車位0,二層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,950126,30.88,1,1,2,有,有,7250000,234780,,0,0,含增建或未登記建物。
6,6,萬華區,房地(土地+建物)+車位,臺北市萬華區德昌街121~150號,51.36,住,1060407,土地1建物1車位2,十四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000131,327.42,4,2,3,有,有,56180000,171584,坡道平面,76.74,0,
7,7,大同區,房地(土地+建物),臺北市大同區重慶北路二段114巷1~30號,31.2,商,1060330,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,700718,133.43,3,2,2,有,無,16300000,122161,,0,0,
8,8,萬華區,房地(土地+建物)+車位,臺北市萬華區西園路二段301~330號,16.67,住,1060324,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041002,132.44,2,2,2,有,有,15200000,114760,升降機械,29.76,0,
10,10,萬華區,房地(土地+建物),臺北市萬華區西藏路125巷1~30號,16.57,商,1060330,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,87.8,2,2,1,有,有,14500000,165148,,0,0,
11,11,萬華區,房地(土地+建物)+車位,臺北市萬華區青年路152巷1~30號,45.63,住,1060320,土地4建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970103,213.45,4,2,2,有,無,24500000,114781,坡道平面,0,0,
13,13,大同區,房地(土地+建物)+車位,臺北市大同區延平北路四段294巷1~30號,21.93,住,1030219,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050615,103.57,2,2,1,有,無,1.50E+07,154585,坡道機械,17.21,1650000,本案為預售合約價格。
14,14,萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.35,商,1060413,土地1建物1車位0,八層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,64.24,1,1,1,有,有,12480000,194271,,0,0,
15,15,萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,5.58,商,1060331,土地1建物1車位1,二十六層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,111.1,2,2,1,有,有,18580000,207752,坡道平面,33.7,2500000,
16,16,大同區,房地(土地+建物)+車位,臺北市大同區民權西路144巷1~30號,25.91,住,1060416,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,750403,140.78,3,2,2,有,有,1.50E+07,106549,坡道平面,0,0,親友、員工或其他特殊關係間之交易。
17,17,大同區,房地(土地+建物),臺北市大同區保安街78巷1~30號,33.3,商,1060421,土地2建物1車位0,全,一層,透天厝,住家用,磚造,351225,27.84,4,0,1,有,無,20500000,736351,,0,0,
18,18,中山區,房地(土地+建物),臺北市中山區中山北路二段93巷1~30號,4.38,商,1060414,土地1建物1車位0,五層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,920808,44.99,1,1,1,有,有,9500000,211158,,0,0,
19,19,中山區,房地(土地+建物),臺北市中山區建國北路二段91~120號,16.22,住,1060308,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,731101,139.15,3,2,2,有,有,25430000,182752,,0,0,含增建或未登記建物。
20,20,內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街61~90號,44.04,住,1060313,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990505,209.66,3,2,2,有,有,42380000,202137,坡道平面,28.29,0,含增建或未登記建物。
21,21,中山區,房地(土地+建物),臺北市中山區樂群二路121~150號,47.09,住,1060314,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,890628,155.47,3,2,2,有,有,23200000,149225,,0,0,
22,22,內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路65巷1~30號,23.43,住,1060331,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940825,162.84,3,2,2,有,有,26700000,163965,坡道平面,0,0,共有人數2人。含增建或未登記建物。本案車位面積無法概算。
23,23,內湖區,房地(土地+建物)+車位,臺北市內湖區堤頂大道二段1~30號,49.79,其他,1060420,土地1建物1車位2,八層,八層,廠辦,工業用,鋼筋混凝土造,871023,340.86,0,0,0,無,有,14400000,42246,坡道平面,0,0,親友、員工或其他特殊關係間之交易。
24,24,內湖區,房地(土地+建物)+車位,臺北市內湖區堤頂大道二段1~30號,73.55,其他,1060420,土地1建物1車位3,八層,八層,廠辦,工業用,鋼筋混凝土造,871023,503.46,0,0,0,無,有,21400000,42506,坡道平面,0,0,親友、員工或其他特殊關係間之交易。
25,25,中山區,房地(土地+建物),臺北市中山區龍江路292巷1~30號,20.91,住,1060318,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840803,76.37,2,2,1,有,無,15150000,198376,,0,0,含增建或未登記建物。
27,27,中山區,房地(土地+建物),臺北市中山區民生東路一段27巷1~30號,8.1,商,1060414,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,891026,56.21,1,1,1,有,有,9880000,175769,,0,0,
28,28,內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路一段195巷3弄1~30號,55.06,住,1060307,土地1建物1車位2,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,830504,143.21,3,2,2,有,無,1.60E+07,111724,一樓平面,0,0,
29,29,中山區,房地(土地+建物),臺北市中山區新生北路一段31~60號,13.11,住,1060330,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,730721,100.31,2,2,1,有,有,16680000,166285,,0,0,含增建或未登記建物。
30,30,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段280巷155弄1~30號,30.13,住,1060419,土地1建物1車位2,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031231,273.38,4,2,2,有,有,4.60E+07,168264,坡道平面,58,0,
31,31,內湖區,房地(土地+建物),臺北市內湖區內湖路二段179巷1~30號,21.54,住,1060421,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740812,90.54,3,2,2,有,無,13800000,152419,,0,0,
32,32,內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路326巷61~90號,76.48,住,1060331,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,881126,288.34,4,2,2,有,有,53200000,184504,坡道平面,0,0,
33,33,內湖區,房地(土地+建物),臺北市內湖區文德路22巷29弄1~30號,22.87,住,1060410,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710501,80.16,2,2,1,有,無,11300000,140968,,0,0,
36,36,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段211~240號,52.86,住,1060224,土地2建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,990602,201.31,4,2,2,有,有,29500000,160606,坡道平面,26.97,1500000,含增建或未登記建物。
37,37,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段135巷31~60號,64.5,住,1060215,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000215,159.9,4,2,2,有,有,38600000,241416,坡道平面,19.13,0,親友、員工或其他特殊關係間之交易。
38,38,中山區,房地(土地+建物)+車位,臺北市中山區長安東路二段151~180號,7.95,商,1060324,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050411,146.32,0,0,0,無,有,35580000,353381,坡道平面,52.71,2500000,
39,39,中山區,房地(土地+建物)+車位,臺北市中山區長安東路二段151~180號,7.42,商,1060324,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050411,140.01,0,0,0,無,有,32500000,337877,坡道平面,52.7,3000000,
40,40,松山區,房地(土地+建物),臺北市松山區南京東路五段301~330號,4.76,商,1060323,土地1建物2車位0,十層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,780621,46.75,1,1,1,有,有,8600000,183957,,0,0,陽台外推
42,42,信義區,房地(土地+建物),臺北市信義區光復南路417巷31~60號,27,住,1060330,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750724,105.22,3,2,2,有,無,23200000,220490,,0,0,含增建或未登記建物。
43,43,信義區,房地(土地+建物),臺北市信義區福德街300巷43弄1~30號,44.19,住,1060331,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,NA,108.82,4,2,1,有,無,1.60E+07,147032,,0,0,含增建或未登記建物。
44,44,松山區,房地(土地+建物)+車位,臺北市松山區健康路391~420號,27.87,住,1060405,土地2建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000706,294.67,3,2,2,有,有,65600000,222622,坡道平面,0,0,
45,45,南港區,房地(土地+建物)+車位,臺北市南港區忠孝東路六段91~120號,25.1,住,1060325,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830812,181.97,3,2,2,有,有,2.60E+07,142881,升降機械,0,0,含增建或未登記建物。
46,46,信義區,房地(土地+建物),臺北市信義區祥雲街1~30號,33.49,住,1060111,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,700811,141.42,4,2,2,有,有,16800000,118795,,0,0,含增建或未登記建物。
47,47,松山區,房地(土地+建物)+車位,臺北市松山區八德路四段421~450號,4.74,商,1060330,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970205,57.79,1,1,1,有,有,9800000,169580,升降機械,10.16,0,
48,48,松山區,房地(土地+建物),臺北市松山區民生東路五段151~180號,16.43,商,1060322,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,680521,131.58,3,2,2,有,有,25500000,193798,,0,0,
49,49,士林區,房地(土地+建物),臺北市士林區前港街82巷1~30號,33.96,住,1060401,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720919,104.44,3,2,1,有,無,1.20E+07,114899,,0,0,含增建或未登記建物。
50,50,士林區,房地(土地+建物),臺北市士林區社中街298巷2弄1~30號,33.5,住,1060325,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660628,74.37,3,2,1,有,無,8.00E+06,107570,,0,0,含增建或未登記建物。
51,51,士林區,房地(土地+建物),臺北市士林區承德路四段91~120號,6.78,住,1060323,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,661014,40.43,2,0,2,有,有,7500000,185506,,0,0,
52,52,北投區,房地(土地+建物),臺北市北投區稻香路73巷1~30號,29.78,住,1060315,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690930,78.55,2,2,1,有,無,8450000,107575,,0,0,含增建或未登記建物。
53,53,北投區,房地(土地+建物)+車位,臺北市北投區大度路三段301巷31~60號,49.77,住,1060203,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860724,113.57,2,1,1,有,有,9400000,82768,坡道平面,36.43,0,
54,54,北投區,房地(土地+建物)+車位,臺北市北投區明德路1~30號,47.53,住,1051226,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,921107,227.95,4,2,2,有,有,12429000,54525,坡道平面,0,0,親友、員工或其他特殊關係間之交易。為尊重權利人隱私權主張，地政士無法入屋現場勘查，由權利人提供建物現況格局實際資訊，供地政士申報登錄。
55,55,士林區,建物,臺北市士林區重慶北路四段151~180號,0,,1060327,土地0建物1車位0,一層，夾層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,860113,65.91,0,0,1,無,無,1060000,16083,,0,0,權利人2人親友、員工或其他特殊關係間之交易。
57,57,士林區,房地(土地+建物),臺北市士林區社子街63巷9弄1~30號,28.1,住,1060331,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700227,97.41,3,2,1,有,無,8.00E+06,82127,,0,0,本案有他共人未出面會辦，已依土地法34條之1處理及提存他共有人應分配之價金
58,58,北投區,房地(土地+建物),臺北市北投區杏林二路121~150號,30.7,住,1060310,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750814,104.73,3,2,1,有,無,1.20E+07,114580,,0,0,親友、員工或其他特殊關係間之交易。
59,59,北投區,房地(土地+建物)+車位,臺北市北投區文林北路121~150號,35.2,住,1020607,土地1建物1車位2,二十五層，見其他登記事項,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,492.78,3,2,4,有,有,1.38E+08,302725,坡道平面,56.74,6000000,
60,60,北投區,房地(土地+建物)+車位,臺北市北投區文林北路121~150號,13.45,住,1020328,土地1建物1車位1,三層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,193.23,3,2,2,有,有,39600000,222007,坡道平面,28.37,3000000,
61,61,北投區,房地(土地+建物),臺北市北投區文林北路121~150號,13.49,住,1020404,土地1建物1車位0,二層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,167.4,3,2,2,有,有,3.90E+07,232975,,0,0,
62,62,北投區,房地(土地+建物)+車位,臺北市北投區文林北路121~150號,35.17,住,1020426,土地1建物1車位2,二十五層，見其他登記事項,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,492.55,3,2,4,有,有,142730000,311902,坡道平面,56.74,6800000,
63,63,北投區,房地(土地+建物)+車位,臺北市北投區文林北路121~150號,13.29,住,1020403,土地1建物1車位1,六層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,198.69,3,2,2,有,有,4.80E+07,261273,坡道平面,28.37,3500000,
64,64,北投區,房地(土地+建物)+車位,臺北市北投區文林北路121~150號,13.42,住,1020403,土地1建物1車位1,六層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,193.4,3,2,2,有,有,4.60E+07,257529,坡道平面,28.37,3500000,
66,66,大安區,房地(土地+建物)+車位,臺北市大安區忠孝東路四段77巷1~30號,16.55,商,1060309,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051209,86.74,1,2,1,有,有,34800000,390672,塔式車位,3.55,2300000,
67,67,大安區,房地(土地+建物)+車位,臺北市大安區敦化南路二段91~120號,51.7,其他,1060316,土地2建物1車位3,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,900522,504.45,4,1,3,有,有,151500000,300327,坡道平面,0,0,
68,68,大安區,房地(土地+建物),臺北市大安區通化街140巷1~30號,34.63,住,1060328,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710403,130.86,3,2,2,有,無,2.50E+07,191044,,0,0,
69,69,大安區,房地(土地+建物),臺北市大安區敦化南路二段151~180號,13.54,其他,1060329,土地2建物1車位0,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740417,135.07,3,2,2,有,有,32800000,242837,,0,0,
72,72,大同區,房地(土地+建物),臺北市大同區承德路三段208巷61~90號,20.2,住,1060414,土地1建物2車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,720630,110.37,2,2,1,有,有,4200000,38054,,0,0,親友、員工或其他特殊關係間之交易。
73,73,萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路1~30號,19.29,商,1051129,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990413,236.52,4,2,2,有,有,46460000,211422,坡道機械,30.96,3000000,
74,74,萬華區,房地(土地+建物),臺北市萬華區萬大路493巷12弄1~30號,76,住,1060220,土地1建物2車位0,一層，騎樓,二層,公寓(5樓含以下無電梯),住家用,加強磚造,521007,139.92,0,0,0,無,無,14500000,103631,,0,0,親友、員工或其他特殊關係間之交易。
75,75,大同區,房地(土地+建物),臺北市大同區延平北路三段18巷31~60號,17.75,住,1060322,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660119,61.78,0,3,1,有,無,11380000,184202,,0,0,含增建或未登記建物
76,76,大同區,房地(土地+建物),臺北市大同區安西街91巷1~30號,6.01,其他,1051228,土地3建物1車位0,一層,二層,公寓(5樓含以下無電梯),,加強磚造,NA,5.45,3,2,2,有,無,6.00E+05,110092,,0,0,
77,77,中山區,房地(土地+建物),臺北市中山區龍江路45巷1~30號,25,住,1060116,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,NA,73.7,5,2,1,有,無,13380000,181547,,0,0,含增建或未登記建物。
78,78,信義區,房地(土地+建物),臺北市信義區永吉路225巷32弄1~30號,25.3,住,1060221,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691114,93.21,3,1,1,有,有,6971000,74788,,0,0,親友、員工或其他特殊關係間之交易。
79,79,士林區,房地(土地+建物)+車位,臺北市士林區文林路541~570號,13.46,商,1060409,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050517,129.69,3,2,1,有,有,23620000,224040,坡道平面,36.76,2800000,含增建或未登記建物。
80,80,士林區,房地(土地+建物),臺北市士林區天玉街27巷31~60號,23.56,住,1060404,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710715,116.7,3,2,1,有,有,1.70E+07,145673,,0,0,含增建或未登記建物。
81,81,士林區,房地(土地+建物)+車位,臺北市士林區忠義街151~180號,37.77,住,1060404,土地1建物1車位2,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,950704,247.88,4,2,2,有,有,4.00E+07,188202,坡道平面,61.91,5000000,含增建或未登記建物-陽台加窗。
82,82,北投區,房地(土地+建物)+車位,臺北市北投區石牌路二段315巷1~30號,42.53,住,1060402,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860522,146.13,4,2,2,有,有,18500000,126600,升降機械,0,1500000,含增建或未登記建物-陽台及花台加窗。權利人二人
83,83,北投區,房地(土地+建物)+車位,臺北市北投區裕民六路121~150號,9.63,商,1060326,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040305,149.55,2,1,1,有,有,2.60E+07,246226,坡道機械,56.14,3000000,
84,84,士林區,房地(土地+建物)+車位,臺北市士林區延平北路六段392巷1~30號,19.71,住,1060406,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950215,111.99,2,2,1,有,有,11800000,120959,坡道平面,28.16,1660000,含增建或未登記建物。
85,85,大安區,房地(土地+建物),臺北市大安區敦化南路一段301~330號,11.71,其他,1060228,土地1建物1車位0,五層，陽台，電梯樓梯間,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,NA,137.33,2,2,2,有,有,3.80E+07,276706,,0,0,含增建或未登記建物。
86,86,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段387巷1~30號,36.3,住,1060401,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830309,178.04,3,2,2,有,有,29500000,193539,坡道平面,35.95,2000000,含增建或未登記建物。
87,87,內湖區,房地(土地+建物),臺北市內湖區東湖路43巷31~60號,31.73,住,1060410,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760501,98.03,3,2,1,有,無,10260000,104662,,0,0,含增建或未登記建物-陽台外移及瞭望台加蓋。
88,88,中山區,房地(土地+建物),臺北市中山區雙城街4巷1~30號,5.13,商,1060325,土地1建物1車位0,三層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,831018,37.88,1,1,1,有,有,6785000,179118,,0,0,含增建或未登記建物。
89,89,內湖區,房地(土地+建物)+車位,臺北市內湖區港華街91~120號,9.39,住,1060405,土地1建物1車位1,四層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1010515,76.44,1,1,1,有,有,12500000,207665,升降機械,23.46,1500000,含增建或未登記建物。
90,90,大同區,房地(土地+建物),臺北市大同區昌吉街81巷1~30號,53.5,住,1051230,土地1建物1車位0,二層,二層,公寓(5樓含以下無電梯),,加強磚造,NA,91.44,2,2,1,有,無,6.00E+06,65617,,0,0,瑕疵物件之交易。嚴重漏水
91,91,萬華區,房地(土地+建物)+車位,臺北市萬華區成都路121~150號,13.77,商,1060327,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,212.86,4,2,2,有,有,37300000,185944,坡道平面,27.32,2800000,
92,92,中正區,房地(土地+建物),臺北市中正區廈門街113巷1~30號,8.44,商,1060322,土地2建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040601,83.6,2,2,1,有,有,16880000,201914,,0,0,
94,94,文山區,房地(土地+建物)+車位,臺北市文山區政大三街1~30號,99.89,住,1060225,土地1建物1車位1,一層，夾層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,851217,186.7,4,2,2,有,有,25800000,138190,坡道平面,0,1800000,含增建或未登記建物。
95,95,大安區,房地(土地+建物),臺北市大安區忠孝東路三段211~240號,22.35,住,1060323,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760423,123.24,3,2,2,有,有,14500000,117657,,0,0,權利人:二人親友、員工或其他特殊關係間之交易。
96,96,大安區,房地(土地+建物),臺北市大安區瑞安街31巷1~30號,22.89,商,1060409,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710503,100.61,2,2,1,有,無,2.10E+07,208727,,0,0,含增建或未登記建物。
97,97,大安區,房地(土地+建物),臺北市大安區信義路三段134巷61~90號,21.06,住,1060409,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750415,108.05,3,2,2,有,有,2.10E+07,194354,,0,0,
98,98,大安區,房地(土地+建物),臺北市大安區復興南路二段151巷30弄1~30號,19.94,住,1060327,土地1建物1車位0,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740522,103.03,3,1,1,有,有,20900000,202854,,0,0,內含獨立產權公設，未包含在棟數內。含增建或未登記建物。
99,99,大安區,房地(土地+建物)+車位,臺北市大安區和平東路二段175巷35弄1~30號,17.87,住,1060325,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821116,81.88,3,1,1,有,有,18200000,222277,升降機械,0,0,含增建或未登記建物。內含獨立產權車位，未包含在棟數內。
100,100,大安區,房地(土地+建物),臺北市大安區敦化南路一段233巷31~60號,5.67,住,1060413,土地1建物1車位0,九層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,760709,40.28,1,1,1,有,有,11500000,285501,,0,0,含增建或未登記建物。
101,101,北投區,房地(土地+建物),臺北市北投區石仙路17巷1~30號,24.75,住,1060306,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,790822,72.03,3,2,2,有,無,3210300,44575,,0,0,親友、員工或其他特殊關係間之交易。
103,103,士林區,房地(土地+建物)+車位,臺北市士林區承德路四段1巷1~30號,22.5,住,1060226,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040715,194.18,3,2,2,有,有,28600000,181708,坡道平面,46.14,1700000,
104,104,士林區,房地(土地+建物),臺北市士林區忠誠路二段160巷1~30號,190,住,1060123,土地2建物2車位0,全,二層,透天厝,住家用,加強磚造,620611,222.84,0,0,0,無,無,349880000,1570095,,0,0,含增建或未登記建物。
105,105,士林區,房地(土地+建物),臺北市士林區忠誠路二段166巷1~30號,104,住,1060123,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,620717,117.54,0,0,0,無,無,75120000,639102,,0,0,含增建或未登記建物。
106,106,北投區,房地(土地+建物)+車位,臺北市北投區行義路154巷1~30號,63.98,住,1060412,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030813,177.97,3,2,2,有,有,22600000,151632,坡道平面,35.52,1000000,急買急賣。
107,107,北投區,房地(土地+建物),臺北市北投區文化三路31~60號,31.71,住,1060330,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,741127,117.31,3,2,1,有,無,1.20E+07,102293,,0,0,
108,108,北投區,房地(土地+建物)+車位,臺北市北投區同德街1~30號,14.07,住,1060325,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,940923,86.52,1,1,2,有,有,1.50E+07,173370,坡道機械,6.66,0,含增建或未登記建物。
109,109,士林區,房地(土地+建物)+車位,臺北市士林區士東路286巷1~30號,51.63,住,1060228,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,910131,187.66,4,2,2,有,有,39680000,211446,坡道平面,38.39,0,
110,110,北投區,房地(土地+建物)+車位,臺北市北投區中央北路三段40巷34弄1~30號,33.26,住,1060409,土地1建物1車位2,十三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010731,263,4,2,2,有,有,30700000,116730,坡道平面,65.84,0,
111,111,南港區,房地(土地+建物)+車位,臺北市南港區經貿二路235巷31~60號,29.72,住,1060220,土地1建物1車位2,十六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031204,329.57,3,2,3,有,有,18130000,55011,坡道平面,55.14,0,親友、員工或其他特殊關係間之交易。
112,112,南港區,房地(土地+建物)+車位,臺北市南港區經貿二路235巷1~30號,28.33,住,1060220,土地1建物1車位2,十六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031204,332.48,3,2,3,有,有,17730000,53327,坡道平面,55.14,0,親友、員工或其他特殊關係間之交易。
113,113,松山區,房地(土地+建物),臺北市松山區健康路325巷19弄1~30號,33.62,住,1060401,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,751020,107.07,3,2,2,有,有,20450000,190997,,0,0,
