id,鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
733,733,文山區,房地(土地+建物),臺北市文山區羅斯福路六段92巷1~30號,24.91,商,1060412,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690501,97.83,3,1,2,有,無,1.30E+07,132884,,0,0,
734,734,中正區,房地(土地+建物),臺北市中正區汀州路二段133巷1~30號,25.48,住,1060328,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,690930,124.88,3,2,2,有,無,8600000,68866,,0,0,1.含增建或未登記建物。2.親友、員工或其他特殊關係間之交易。
735,735,文山區,房地(土地+建物),臺北市文山區景興路1~30號,14.57,住,1060225,土地5建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,NA,54.72,3,2,2,有,無,6750000,123355,,0,0,
736,736,文山區,房地(土地+建物),臺北市文山區景興路1~30號,29.16,住,1060318,土地5建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691126,109.43,3,2,2,有,無,12600000,115142,,0,0,
737,737,文山區,房地(土地+建物)+車位,臺北市文山區辛亥路六段21巷1~30號,91.35,住,1060420,土地8建物2車位1,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880809,257.31,3,2,2,有,有,31680000,123120,坡道平面,50.34,0,
738,738,文山區,房地(土地+建物)+車位,臺北市文山區萬盛街61~90號,12.97,住,1030606,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050816,91.03,1,2,1,有,有,18130000,214304,升降機械,13.29,1470000,
739,739,文山區,房地(土地+建物),臺北市文山區政大二街171巷31~60號,127.16,住,1060414,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,850106,264.06,4,2,3,有,有,28800000,109066,,0,0,\\依仲介公司提供之資料登錄\\\
740,740,文山區,房地(土地+建物)+車位,臺北市文山區試院路91~120號,51.49,住,1060329,土地2建物1車位3,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040522,354.51,4,2,2,有,有,45600000,177895,坡道平面,111.67,2400000,
741,741,大同區,房地(土地+建物),臺北市大同區酒泉街31~60號,20.4,商,1060422,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,NA,70.5,0,0,0,無,無,10500000,148936,,0,0,
742,742,大同區,房地(土地+建物),臺北市大同區酒泉街31~60號,20.4,商,1060422,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,NA,69.78,0,0,0,無,無,10500000,150473,,0,0,含增建或未登記建物。
